101,Follas Novas,Rosalia de Castro,Poesia,15.50,A Coruña
102,Memorias dun neno labrego,Xose Neira Vilas,Narrativa,12.00,Pontevedra
103,O lapis do carpinteiro,Manuel Rivas,Narrativa,18.75,Lugo
104,Cantigas de Santa Maria,Afonso X o Sabio,Poesia,22.00,Ourense
105,Sempre en Galiza,Alfonso Daniel Rodriguez Castelao,Ensaio,25.00,A Coruña
106,A praia dos afogados,Domingo Villar,Novela Negra,19.95,Pontevedra
107,Cousas,Alfonso Daniel Rodriguez Castelao,Narrativa,14.50,Lugo
108,Os vellos non deben de namorarse,Alfonso Daniel Rodriguez Castelao,Teatro,17.25,Ourense
109,A esmorga,Eduardo Blanco Amor,Narrativa,16.80,Ourense
110,Merlín e familia,Alvaro Cunqueiro,Fantasía,20.00,Lugo
